year,mean
1850,-0.4265
1851,-0.2635
1852,-0.2241
1853,-0.2623
1854,-0.2936
1855,-0.2914
1856,-0.3281
1857,-0.4659
1858,-0.3968
1859,-0.292
1860,-0.4071
1861,-0.4637
1862,-0.5548
1863,-0.3828
1864,-0.4941
1865,-0.3922
1866,-0.4002
1867,-0.3994
1868,-0.3631
1869,-0.3185
1870,-0.3278
1871,-0.3734
1872,-0.3095
1873,-0.3212
1874,-0.3654
1875,-0.3667
1876,-0.4108
1877,-0.0824
1878,0.0103
1879,-0.2887
1880,-0.3032
1881,-0.213
1882,-0.2721
1883,-0.3276
1884,-0.4744
1885,-0.4581
1886,-0.4082
1887,-0.4883
1888,-0.3726
1889,-0.2504
1890,-0.5003
1891,-0.3975
1892,-0.5066
1893,-0.4949
1894,-0.4787
1895,-0.4418
1896,-0.2786
1897,-0.2547
1898,-0.474
1899,-0.3443
1900,-0.2302
1901,-0.2872
1902,-0.4374
1903,-0.5352
1904,-0.5971
1905,-0.4059
1906,-0.3154
1907,-0.4995
1908,-0.5066
1909,-0.5329
1910,-0.5221
1911,-0.5398
1912,-0.4761
1913,-0.4635
1914,-0.2595
1915,-0.1906
1916,-0.4202
1917,-0.5439
1918,-0.426
1919,-0.3324
1920,-0.3044
1921,-0.2414
1922,-0.3381
1923,-0.3146
1924,-0.3085
1925,-0.2796
1926,-0.1221
1927,-0.2258
1928,-0.2084
1929,-0.3903
1930,-0.1699
1931,-0.1058
1932,-0.15
1933,-0.3283
1934,-0.177
1935,-0.2129
1936,-0.171
1937,-0.016
1938,-0.0129
1939,-0.0418
1940,0.0738
1941,0.0344
1942,-0.0005
1943,0.0064
1944,0.1446
1945,0.0429
1946,-0.1227
1947,-0.096
1948,-0.1292
1949,-0.1539
1950,-0.2397
1951,-0.0719
1952,0.0108
1953,0.077
1954,-0.1175
1955,-0.1987
1956,-0.265
1957,-0.0349
1958,-0.0165
1959,-0.0465
1960,-0.1134
1961,-0.0144
1962,-0.0588
1963,-0.0314
1964,-0.3021
1965,-0.2023
1966,-0.1454
1967,-0.1157
1968,-0.164
1969,-0.0278
1970,-0.084
1971,-0.2041
1972,-0.0902
1973,0.0525
1974,-0.1687
1975,-0.106
1976,-0.2108
1977,0.1051
1978,0.0055
1979,0.0881
1980,0.1915
1981,0.247
1982,0.031
1983,0.2208
1984,0.046
1985,0.046
1986,0.0923
1987,0.2382
1988,0.2776
1989,0.1749
1990,0.355
1991,0.3338
1992,0.12
1993,0.1611
1994,0.2274
1995,0.3711
1996,0.2708
1997,0.4151
1998,0.572
1999,0.318
2000,0.3255
2001,0.4835
2002,0.5372
2003,0.5383
2004,0.4624
2005,0.6023
2006,0.5663
2007,0.5855
2008,0.4592
2009,0.59
2010,0.6736
2011,0.5326
2012,0.5715
2013,0.6186
2014,0.6679
2015,0.818
2016,0.9248
2017,0.8365
2018,0.7532
2019,0.8873
2020,0.9162
2021,0.7673
2022,0.8018
2023,1.1098
2024,1.1695
2025,1.0498
2026,1.0323
